noise_ratio,model,accuracy,precision,recall,f1
0.1,Logistic Regression,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9534883720930233
0.1,Random Forest,0.9186046511627907,0.9268461627265615,0.9186046511627907,0.9195781427416794
0.1,SVM,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9767441860465116
0.1,Reweighting (Ours),0.9418604651162791,0.9451631815516904,0.9418604651162791,0.9423315317102197
0.2,Logistic Regression,0.8837209302325582,0.8955018359853122,0.8837209302325582,0.8852843462966582
0.2,Random Forest,0.9186046511627907,0.9268461627265615,0.9186046511627907,0.9195781427416794
0.2,SVM,0.9651162790697675,0.9656016062334623,0.9651162790697675,0.9652216073428853
0.2,Reweighting (Ours),0.9651162790697675,0.9656016062334623,0.9651162790697675,0.9652216073428853
0.3,Logistic Regression,0.872093023255814,0.8952921157118549,0.872093023255814,0.874163746416056
0.3,Random Forest,0.8604651162790697,0.8985200845665963,0.8604651162790697,0.8627600979192168
0.3,SVM,0.9302325581395349,0.9412484700122399,0.9302325581395349,0.9311706077779949
0.3,Reweighting (Ours),0.8953488372093024,0.9039751664336382,0.8953488372093024,0.8966004692393024
0.4,Logistic Regression,0.8255813953488372,0.8416117941105571,0.8255813953488372,0.82813528650605
0.4,Random Forest,0.7325581395348837,0.7851787005671222,0.7325581395348837,0.7363802976060471
0.4,SVM,0.8372093023255814,0.8651464814255513,0.8372093023255814,0.8399030259495377
0.4,Reweighting (Ours),0.9186046511627907,0.9268461627265615,0.9186046511627907,0.9195781427416794
